DateTime,Season,No.Customers,Average.age.of.customers,Tips.in.EUR,No.times.door.opened,Outside.temperatur.in.Celsius,Restaurant.temperature.in.Celsius,No.meals,No.drinks,Gas.consumption.in.kwh,Water.comsumption.in.liter,Electricity.consumption.in.kwh,No.transactions.with.card,No.transactions.with.cash,Total.revenue.in.EUR,Meal.revenue.in.EUR,Drink.revenue.in.EUR
01/01/2000 10:00,Winter,19,42,109.06,24,0.4,21.2,90,150,213.13,69.47,406.47,5,14,949.98,339.77,610.21
01/01/2000 11:00,Winter,31,51,166.47,30,1.1,20.7,198,220,312.09,156.24,460.82,4,27,2135.59,1342.48,793.12
01/01/2000 12:00,Winter,30,48,130.5,30,1.7,20.7,145,157,270.92,122.57,425.29,8,22,1600.36,1048.37,551.99
01/01/2000 13:00,Winter,14,48,67.2,12,2.2,21.4,73,51,191.24,98.46,369.19,6,8,790.2,673.42,116.78
01/01/2000 14:00,Winter,9,25,28.89,16,2.5,21.6,55,29,167.92,62.74,354.93,5,4,1020.82,850.04,170.79
01/01/2000 15:00,Winter,2,24,7.68,6,2.6,21.9,6,6,60.22,6.87,262.8,1,1,80.55,53.15,27.39
01/01/2000 16:00,Winter,1,20,3.65,2,2.5,22,7,5,69.08,27.47,274.74,0,1,60.07,39.26,20.81
01/01/2000 17:00,Winter,7,23,34.02,18,2.2,21.7,34,38,136.58,55.82,339.52,5,2,446.57,211.47,235.1
01/01/2000 18:00,Winter,14,40,71.4,16,1.7,21.4,87,97,211.21,91.41,382.77,9,5,1490.54,945.1,545.44
01/01/2000 19:00,Winter,27,39,119.88,30,1.1,20.8,107,66,230.82,101,418.92,19,8,1991.66,1649.23,342.43
01/01/2000 20:00,Winter,32,40,131.52,34,0.4,20.6,161,242,281.77,126.28,445.75,17,15,3132.62,1931.25,1201.37
01/01/2000 21:00,Winter,21,30,72.87,20,-0.4,21.1,105,135,229.39,89.66,429.53,14,7,1760.61,1104.86,655.75
01/01/2000 22:00,Winter,3,30,10.95,12,-1.2,21.9,23,23,103.51,71.85,347.23,2,1,437.46,324.19,113.27
01/01/2000 23:00,Winter,4,24,13.56,6,-1.9,21.8,26,18,119.58,74.34,356.52,3,1,483.41,393.53,89.87
02/01/2000 10:00,Winter,15,51,69,12,2,21.4,58,123,172.72,79.44,354.46,5,10,927.46,500.65,426.8
02/01/2000 11:00,Winter,26,49,127.92,32,2.8,20.9,180,220,301.72,159.06,435.56,7,19,1746.81,933.61,813.2
02/01/2000 12:00,Winter,23,50,127.65,24,3.4,21,157,188,278.57,131.79,415.03,7,16,1330.79,931.1,399.68
02/01/2000 13:00,Winter,12,53,57.96,10,3.9,21.5,78,84,197.32,66.39,358.55,1,11,1051.45,693.83,357.62
02/01/2000 14:00,Winter,4,28,13.88,14,4.2,21.9,19,18,97.87,6.61,296.59,2,2,233.9,170.79,63.11
02/01/2000 15:00,Winter,1,25,4.45,4,4.3,22,5,8,66.94,20.67,260.74,1,0,100.21,61.69,38.52
02/01/2000 16:00,Winter,4,24,15.8,8,4.2,21.9,11,12,78.96,50.42,277.24,3,1,135.34,73.59,61.75
02/01/2000 17:00,Winter,6,24,23.28,8,3.9,21.8,37,41,136.69,67.37,320.45,4,2,593.07,363.27,229.79
02/01/2000 18:00,Winter,12,41,48,16,3.4,21.5,76,59,192.78,77.86,364.05,5,7,988.8,834.18,154.63
02/01/2000 19:00,Winter,19,38,102.03,18,2.8,21.2,131,83,251.99,138.56,401.07,11,8,1887.73,1487.43,400.3
02/01/2000 20:00,Winter,30,40,143.7,32,2,20.7,133,104,258.27,112.55,416.72,16,14,2341.16,1856.68,484.48
02/01/2000 21:00,Winter,10,30,31.1,14,1.3,21.6,106,42,229.77,142.22,400.07,6,4,1042.86,782.5,260.35
02/01/2000 22:00,Winter,10,31,37.3,22,0.5,21.6,47,39,153.45,71.69,357.87,6,4,705.7,502.4,203.29
02/01/2000 23:00,Winter,3,23,10.23,4,-0.2,21.9,13,11,70.62,8.55,325.65,2,1,214.34,174.62,39.72
03/01/2000 10:00,Winter,18,48,82.08,16,-1.6,21.2,96,131,218.81,99.6,432.11,4,14,1370.53,838.82,531.7
03/01/2000 11:00,Winter,31,50,159.03,34,-0.9,20.7,154,126,275.28,126.1,458.66,14,17,1388.35,945.65,442.7
03/01/2000 12:00,Winter,28,49,138.32,34,-0.3,20.8,182,212,298.88,157.79,471.07,10,18,1439.75,725.5,714.25
03/01/2000 13:00,Winter,20,50,78.4,32,0.2,21.1,158,133,278.01,152.76,450.29,6,14,1219.94,882.23,337.71
03/01/2000 14:00,Winter,7,26,26.32,12,0.5,21.7,35,50,136.4,78.54,332.34,5,2,561.2,265.38,295.82
03/01/2000 15:00,Winter,4,23,13.36,6,0.6,21.8,2,18,27.07,45.41,270.52,3,1,136.02,32.55,103.47
03/01/2000 16:00,Winter,2,26,7.98,6,0.5,21.9,10,15,71.39,10.9,314.34,1,1,91.17,41.14,50.03
03/01/2000 17:00,Winter,10,24,46.5,8,0.2,21.6,51,80,156.81,91.27,372.69,7,3,766.22,348.44,417.78
03/01/2000 18:00,Winter,20,40,70.4,16,-0.3,21.1,116,135,238.35,94.59,430.98,8,12,1293.95,804.49,489.46
03/01/2000 19:00,Winter,18,39,63.36,14,-0.9,21.2,165,113,285.69,139.35,464.7,11,7,1888.32,1331.02,557.3
03/01/2000 20:00,Winter,20,39,82.8,26,-1.6,21.1,125,141,249.17,106.17,445.82,10,10,1965.29,1382.46,582.82
03/01/2000 21:00,Winter,15,29,70.95,14,-2.4,21.3,95,69,214.83,90.78,432.66,14,1,1290.3,976.82,313.49
03/01/2000 22:00,Winter,8,32,23.68,14,-3.2,21.7,68,41,189.18,46.59,420.36,5,3,739.85,657.2,82.65
03/01/2000 23:00,Winter,2,26,9.32,6,-3.9,21.9,8,7,62.02,28.73,353.31,1,1,116.82,85.74,31.08
04/01/2000 10:00,Winter,22,50,134.86,18,-2.9,21,100,147,224.42,92.25,451.13,7,15,1294.93,622.85,672.07
04/01/2000 11:00,Winter,30,48,113.04,28,-2.1,21,155,72,279.94,130.1,476.13,4,20,1723.91,1332.88,391.04
04/01/2000 12:00,Winter,22,49,101.42,22,-1.5,21,93,69,218.31,90.78,429.37,5,17,1026.34,754.24,272.1
04/01/2000 13:00,Winter,10,51,51.1,14,-1,21.6,39,66,145.56,35.55,374.62,2,8,425.6,225.9,199.7
04/01/2000 14:00,Winter,9,26,39.24,4,-0.7,21.6,35,58,128.06,26.06,351.09,5,4,740.05,322.09,1767.6
04/01/2000 15:00,Winter,13,27,10.8,6,-0.6,21.9,17,13,90.87,49.66,340.49,1,2,183.03,139.27,43.75
04/01/2000 16:00,Winter,1,23,3.55,4,-0.7,22,7,2,60.56,34.09,299.57,1,0,104.19,89.27,14.91
04/01/2000 17:00,Winter,7,40,29.89,8,-1,21.7,28,25,116.59,76.72,330.7,5,2,539.03,368.12,170.9
